Date,Silver_PKR_per_Ounce
2018-11-29,1921.35
2018-11-30,1902.48
2018-12-03,2000.2
2018-12-04,2000.22
2018-12-05,2008.56
2018-12-06,2006.04
2018-12-07,2029.5
2018-12-10,2019.87
2018-12-11,2032.33
2018-12-12,2050.08
2018-12-13,2057.18
2018-12-14,2025.64
2018-12-17,2046.99
2018-12-18,2045.28
2018-12-19,2041.53
2018-12-20,2053.72
2018-12-21,2035.0
2018-12-24,2063.29
2018-12-25,2056.82
2018-12-26,2102.81
2018-12-27,2121.86
2018-12-28,2139.95
2018-12-31,2166.58
2019-01-02,2161.85
2019-01-03,2189.48
2019-01-04,2181.88
2019-01-07,2177.54
2019-01-08,2184.67
2019-01-09,2203.64
2019-01-10,2178.38
2019-01-11,2181.07
2019-01-14,2192.57
2019-01-15,2167.08
2019-01-16,2178.12
2019-01-17,2169.42
2019-01-18,2134.83
2019-01-21,2136.36
2019-01-22,2145.23
2019-01-23,2145.21
2019-01-24,2139.01
2019-01-25,2191.01
2019-01-28,2192.44
2019-01-29,2210.55
2019-01-30,2239.46
2019-01-31,2243.99
2019-02-01,2201.84
2019-02-04,2210.69
2019-02-05,2201.05
2019-02-06,2181.1
2019-02-07,2192.82
2019-02-08,2197.13
2019-02-11,2191.35
2019-02-12,2192.07
2019-02-13,2180.44
2019-02-14,2180.45
2019-02-15,2196.41
2019-02-18,2207.02
2019-02-19,2222.59
2019-02-20,2236.98
2019-02-21,2211.77
2019-02-22,2224.43
2019-02-25,2216.39
2019-02-26,2221.05
2019-02-27,2194.98
2019-02-28,2180.57
2019-03-01,2108.56
2019-03-04,2106.82
2019-03-05,2107.3
2019-03-06,2098.26
2019-03-07,2101.39
2019-03-08,2143.83
2019-03-11,2136.04
2019-03-12,2158.77
2019-03-13,2152.39
2019-03-14,2124.05
2019-03-15,2129.62
2019-03-18,2153.17
2019-03-19,2149.9
2019-03-20,2173.03
2019-03-21,2162.87
2019-03-22,2155.92
2019-03-25,2178.0
2019-03-26,2170.15
2019-03-27,2148.03
2019-03-28,2114.12
2019-03-29,2131.88
2019-04-01,2126.7
2019-04-02,2121.27
2019-04-03,2145.73
2019-04-04,2143.54
2019-04-05,2136.38
2019-04-08,2159.54
2019-04-09,2155.09
2019-04-10,2157.7
2019-04-11,2125.6
2019-04-12,2117.35
2019-04-15,2129.32
2019-04-16,2126.1
2019-04-17,2123.33
2019-04-18,2124.04
2019-04-19,2124.7
2019-04-22,2127.32
2019-04-23,2100.0
2019-04-24,2114.23
2019-04-25,2118.31
2019-04-26,2134.13
2019-04-29,2113.19
2019-04-30,2117.14
2019-05-01,2080.89
2019-05-02,2069.28
2019-05-03,2112.55
2019-05-06,2112.23
2019-05-07,2109.73
2019-05-08,2102.07
2019-05-09,2090.34
2019-05-10,2092.93
2019-05-13,2094.52
2019-05-14,2097.25
2019-05-15,2097.6
2019-05-16,2058.63
2019-05-17,2074.53
2019-05-20,2140.48
2019-05-21,2180.91
2019-05-22,2201.14
2019-05-23,2219.42
2019-05-24,2214.41
2019-05-27,2201.85
2019-05-28,2167.53
2019-05-29,2162.54
2019-05-30,2194.94
2019-05-31,2141.22
2019-06-03,2170.29
